Drug Name,Mol Wt,LogP,pKa,TPSA,HBD,HBA,Solubility,P-gp Substrate Probability,LogBB,Fraction Unionized at pH 5,Mucin Binding Index,Mucosal Permeability (Papp),BBB Permeation Probability,CNS MPO Score,Lipinski Compliance
Clozapine,326.823,3.67,7.6,30.9,1.0,3.0,0,0.8684,0.9614,0.002506,0.75,0.62,0.9,4.6,no
Risperidone,410.5,3.27,8.76,61.9,0.0,6.0,0,0.6163,0.9925,0.000174,0.65,0.46,0.45,2.6,no
Olanzapine,312.4,3.61,7.24,59.1,1.0,4.0,0,0.8524,0.9652,0.00572,0.72,0.68,0.88,4.5,no
Quteipine,383.5,2.81,7.06,73.6,1.0,5.0,0,0.8424,0.9906,0.008634,0.7,0.55,0.85,4.0,no
Aripiperazole,0.0,4.5,7.46,0.0,0.0,0.0,0,0.0,0.0,0.003455,0.6,0.58,0.8,3.6,no
Haloperidol,375.9,3.7,8.05,40.5,1.0,4.0,0,0.6673,0.9465,0.00089,0.45,0.5,0.7,3.0,no
Chlorpromazine,318.9,5.3,9.3,31.8,0.0,3.0,0,0.787,0.9795,5e-05,0.78,0.6,0.75,3.8,no
Paliperidone,426.5,2.3,8.76,82.2,1.0,7.0,0,0.7449,0.7928,0.000174,0.63,0.28,0.2,1.8,no
Ziprasidone,412.9,4.2,7.09,76.7,1.0,5.0,0,0.7167,0.9759,0.008063,0.5,0.42,0.5,2.8,no
Amisulpride,369.5,1.3,9.37,110.0,2.0,6.0,0,0.7242,0.9441,4.3e-05,0.3,0.15,0.1,1.2,no
Fluoxetine,309.33,4.1,9.8,21.3,1.0,5.0,0,0.5899,0.983,1.6e-05,0.62,0.72,0.85,3.9,no
Sertraline,306.2,5.1,9.56,12.0,1.0,1.0,0,0.5858,0.9713,2.8e-05,0.7,0.74,0.82,4.2,no
Paroxetine,329.4,3.1,9.77,39.7,1.0,5.0,0,0.6555,0.9869,1.7e-05,0.68,0.66,0.78,3.7,no
Citalopram,324.4,3.2,9.78,36.3,0.0,4.0,0,0.7597,0.9729,1.7e-05,0.6,0.58,0.75,3.9,no
Escitalopram,324.4,3.0,9.78,36.3,0.0,4.0,0,0.7597,0.9729,1.7e-05,0.6,0.6,0.78,4.0,no
Venlafaxine,277.4,3.0,8.91,32.7,1.0,3.0,0,0.6534,0.9382,0.000123,0.45,0.32,0.65,3.1,no
Duloxetine,297.4,4.3,9.7,49.5,1.0,3.0,0,0.7078,0.9804,2e-05,0.58,0.55,0.7,3.4,no
Amitryptaline,277.4,4.9,9.76,3.2,0.0,1.0,0,0.7567,0.9512,1.7e-05,0.75,0.75,0.88,3.8,no
Nortryptaline,263.4,4.2,10.47,12.0,1.0,1.0,0,0.7863,0.9478,3e-05,0.72,0.72,0.86,4.0,no
Bupropion,239.74,3.3,8.22,29.1,1.0,2.0,0,0.733,0.975,0.000602,0.4,0.52,0.6,3.0,no
Imipramine,280.4,4.8,9.51,6.5,0.0,2.0,0,0.7684,0.9865,3.1e-05,0.0,0.7,0.84,3.6,no
Mirtazapine,265.35,3.0,6.67,19.4,0.0,3.0,0,0.8462,0.9855,0.007881,0.0,0.68,0.82,4.0,no
Diazepam,284.74,2.8,3.4,32.7,0.0,2.0,0,0.661,0.9934,0.975497,0.05,0.82,0.95,5.1,no
Lorazepam,321.2,2.3,1.3,61.7,2.0,3.0,0,0.517,0.9641,0.999801,0.04,0.76,0.9,4.6,no
Clonazepam,315.71,3.0,1.5,87.3,1.0,4.0,0,0.5594,0.9718,0.999684,0.04,0.78,0.93,4.9,no
Alprazolam,308.771,2.15,2.2,43.1,0.0,3.0,0,0.5099,0.9794,0.9984,0.15,0.82,0.92,4.9,no
Buspirone,385.5,2.63,7.6,69.6,0.0,6.0,0,0.5726,0.9839,0.00031,0.65,0.55,0.6,3.1,no
Carbamazepine,236.27,2.77,13.9,46.3,1.0,1.0,0,0.6466,0.9958,1.0,0.4,0.7,0.85,4.0,no
Lamotrigine,256.09,1.93,5.7,90.7,2.0,5.0,0,0.7155,0.9382,0.1663,0.6,0.48,0.7,3.0,no
Valproate,143.2,2.75,4.8,40.1,0.0,2.0,0,0.7345,0.9626,0.3653,0.35,0.45,0.7,2.8,no
Phenobarbital,232.23,1.47,7.4,75.3,2.0,3.0,0,0.5561,0.9736,0.996,0.15,0.5,0.6,3.2,no
Gabapentin,171.24,-1.9,3.7,63.3,2.0,3.0,0,0.6557,0.9382,0.0,0.1,0.12,0.12,1.4,no
Pregabalin,159.23,1.3,4.2,63.3,2.0,3.0,0,0.683,0.9382,0.0,0.1,0.15,0.15,1.6,no
Levetiracetam,170.21,-0.6,16.09,63.4,1.0,2.0,0,0.5137,0.9821,1.0,0.05,0.6,0.75,1.8,no
Topiramate,339.36,1.29,8.3,124.0,1.0,3.0,0,0.7905,0.9382,1.0,0.05,0.3,0.45,2.4,no
Selegiline,339.36,2.85,7.2,3.2,0.0,1.0,0,0.543,0.9809,2.5e-05,0.5,0.65,0.65,3.6,no
Levodopa,197.19,-2.3,9.6,104.0,4.0,5.0,0,0.5734,0.9264,0.0,0.05,0.8,0.8,1.5,no
Memantine,179.3,3.28,10.27,26.0,1.0,1.0,0,0.6403,0.9823,3e-06,0.55,0.78,0.8,3.9,no
Donepezil,379.5,4.7,8.9,38.8,4.0,6.0,0,0.7721,0.9953,0.000126,0.7,0.75,0.85,4.2,no
Rivastigmine,250.34,2.3,8.8,32.8,0.0,3.0,0,0.6571,0.9853,0.000631,0.6,0.68,0.78,3.5,no
Modafinil,273.4,3.2,8.84,79.4,1.0,3.0,0,0.8912,0.9947,1.0,0.3,0.72,0.8,3.6,no
Methylphenidate,233.31,2.25,9.0,38.3,1.0,3.0,0,0.5466,0.9663,0.00015,0.5,0.75,0.85,3.6,no
Atomoxetine,255.35,3.81,10.0,21.3,1.0,2.0,0,0.6133,0.964,1.3e-05,0.6,0.62,0.62,3.8,no
Trazodone,371.9,2.9,8.1,42.4,0.0,4.0,0,0.547,0.9829,0.090909,0.65,0.7,0.75,3.9,no
Zolpidem,307.4,3.02,5.65,37.6,0.0,2.0,0,0.5,0.9392,0.059351,0.62,0.88,0.9,4.4,no
